train/policy_loss,time/fps,train/reward,train/std,train/entropy_loss,train/learning_rate,time/time_elapsed,train/n_updates,time/iterations,time/total_timesteps,train/explained_variance,train/value_loss
4.962759971618652,118,-0.3464315,1.0007297992706299,-41.167362213134766,0.0007,4,99,100,500,-0.040336012840270996,0.29379910230636597
39.21636962890625,121,-1.664915,1.0006678104400635,-41.1600456237793,0.0007,8,199,200,1000,0.02610236406326294,0.7802279591560364
-420.1522521972656,121,1.3885715,1.0010524988174438,-41.16758728027344,0.0007,12,299,300,1500,2.384185791015625e-07,122.0660400390625
12.692481994628906,121,0.46892384,1.001233458518982,-41.18094253540039,0.0007,16,399,400,2000,1.1920928955078125e-07,2.1111056804656982
1258.068115234375,120,-15.089547,1.0009806156158447,-41.17324447631836,0.0007,20,499,500,2500,0.0,1149.2135009765625
227.5309295654297,119,-0.0073448443,1.0017250776290894,-41.19029235839844,0.0007,25,599,600,3000,0.005433499813079834,33.834075927734375
-158.47671508789062,119,-7.184978,1.001606822013855,-41.18589782714844,0.0007,29,699,700,3500,0.0,17.763050079345703
114.9972915649414,118,-2.141189,1.002274513244629,-41.20011520385742,0.0007,33,799,800,4000,0.0,13.481237411499023
115.05485534667969,118,-5.419575,1.0029422044754028,-41.226234436035156,0.0007,38,899,900,4500,0.0,14.612836837768555
-54.1895637512207,117,-10.241754,1.0025302171707153,-41.21599197387695,0.0007,42,999,1000,5000,0.0,9.178709030151367
-1982.3642578125,116,14.142007,1.0039249658584595,-41.25481033325195,0.0007,47,1099,1100,5500,0.0,2121.365966796875
-207.6399383544922,115,-0.78947294,1.003910779953003,-41.247989654541016,0.0007,51,1199,1200,6000,-0.021747827529907227,32.91531753540039
-73.88160705566406,115,-6.8342338,1.006406545639038,-41.32442855834961,0.0007,56,1299,1300,6500,0.0,9.577942848205566
140.1249542236328,114,0.36985874,1.0078060626983643,-41.35979461669922,0.0007,60,1399,1400,7000,-0.0053598880767822266,20.223289489746094
107.96270751953125,114,0.7496493,1.0090832710266113,-41.39784622192383,0.0007,65,1499,1500,7500,0.0,14.579426765441895
-23.75791358947754,113,5.0746884,1.0115736722946167,-41.470130920410156,0.0007,70,1599,1600,8000,0.0,2.5288004875183105
-416.2354431152344,113,6.257457,1.0125195980072021,-41.48983383178711,0.0007,74,1699,1700,8500,0.0,125.42131042480469
29.844226837158203,113,3.5607307,1.013569951057434,-41.5299186706543,0.0007,79,1799,1800,9000,0.0,1.3640060424804688
-76.18814849853516,112,-0.093155995,1.0148932933807373,-41.56463623046875,0.0007,84,1899,1900,9500,0.0,7.14682674407959
-72.69288635253906,112,-1.6850014,1.016449213027954,-41.600643157958984,0.0007,88,1999,2000,10000,1.1920928955078125e-07,8.305742263793945
126.39007568359375,112,3.8869102,1.0164083242416382,-41.60615539550781,0.0007,93,2099,2100,10500,0.0,26.433795928955078
-19.882076263427734,112,-13.625748,1.0145553350448608,-41.548370361328125,0.0007,97,2199,2200,11000,2.384185791015625e-07,17.80930519104004
-3595.534423828125,112,16.57977,1.0164716243743896,-41.605072021484375,0.0007,102,2299,2300,11500,-0.004127383232116699,8347.78125
165.11070251464844,112,0.24516591,1.0156724452972412,-41.57588195800781,0.0007,106,2399,2400,12000,-2.384185791015625e-07,24.487613677978516
-137.21682739257812,112,1.4777179,1.0154857635498047,-41.57444763183594,0.0007,111,2499,2500,12500,0.0,12.13965892791748
4.5696868896484375,112,2.539514,1.0161381959915161,-41.594520568847656,0.0007,115,2599,2600,13000,1.1920928955078125e-07,5.196677207946777
-37.2415657043457,112,-1.0668665,1.0140482187271118,-41.53955841064453,0.0007,120,2699,2700,13500,-1.1920928955078125e-07,1.4462531805038452
576.3306274414062,112,6.9681454,1.014028787612915,-41.5303840637207,0.0007,124,2799,2800,14000,0.0,205.8896484375
-160.45164489746094,112,4.221064,1.0154893398284912,-41.57023620605469,0.0007,129,2899,2900,14500,2.384185791015625e-07,19.106252670288086
3.4507553577423096,112,1.082808,1.0162489414215088,-41.61265182495117,0.0007,133,2999,3000,15000,-0.05249059200286865,1.19821298122406
-29.883148193359375,112,-1.1044312,1.0164759159088135,-41.61248779296875,0.0007,138,3099,3100,15500,1.1920928955078125e-07,1.6601982116699219
-76.41703796386719,112,-1.2898905,1.0182777643203735,-41.66506576538086,0.0007,142,3199,3200,16000,5.960464477539063e-08,31.341928482055664
141.646728515625,112,1.1830289,1.016721487045288,-41.61669921875,0.0007,147,3299,3300,16500,0.0,19.709178924560547
168.43228149414062,112,8.977251,1.0176903009414673,-41.63483428955078,0.0007,151,3399,3400,17000,1.1920928955078125e-07,51.337257385253906
196.96412658691406,112,-0.6686934,1.0163308382034302,-41.59796142578125,0.0007,156,3499,3500,17500,-0.00626063346862793,24.94387435913086
-151.40194702148438,111,0.82848376,1.0158966779708862,-41.58835220336914,0.0007,160,3599,3600,18000,-1.1920928955078125e-07,22.789440155029297
268.75079345703125,111,0.7406533,1.015621542930603,-41.573585510253906,0.0007,165,3699,3700,18500,0.0,43.06220626831055
84.94100189208984,111,1.2513449,1.015067219734192,-41.56315231323242,0.0007,169,3799,3800,19000,0.0025533437728881836,5.110916614532471
-55.101600646972656,111,5.1327734,1.015772819519043,-41.58882522583008,0.0007,174,3899,3900,19500,0.0,2.8276238441467285
17.734445571899414,111,5.6745253,1.0152060985565186,-41.56122589111328,0.0007,178,3999,4000,20000,0.0,2.6132266521453857
-27.198963165283203,111,0.22626531,1.0152394771575928,-41.56944274902344,0.0007,183,4099,4100,20500,0.0,2.9475674629211426
-283.2227478027344,111,0.121599436,1.0154732465744019,-41.57360076904297,0.0007,187,4199,4200,21000,0.025524258613586426,55.256248474121094
-55.62498092651367,111,4.9694214,1.0172032117843628,-41.63233947753906,0.0007,192,4299,4300,21500,1.1920928955078125e-07,2.6491856575012207
5.262167453765869,111,1.8636018,1.0151547193527222,-41.5634765625,0.0007,196,4399,4400,22000,0.0,4.663105487823486
415.18658447265625,111,2.1998246,1.0142399072647095,-41.53501892089844,0.0007,201,4499,4500,22500,0.0,106.38252258300781
168.03219604492188,111,2.6723695,1.015410304069519,-41.571292877197266,0.0007,206,4599,4600,23000,0.0,19.33111572265625
-61.252288818359375,111,0.32805142,1.0176478624343872,-41.62654113769531,0.0007,210,4699,4700,23500,0.0,6.82167911529541
-203.97012329101562,111,-1.1549493,1.0186941623687744,-41.66282653808594,0.0007,215,4799,4800,24000,0.0,31.20223045349121
-76.24342346191406,111,0.7978294,1.0175373554229736,-41.634849548339844,0.0007,219,4899,4900,24500,0.0,5.482125759124756
-34.6955680847168,111,0.66255605,1.0175960063934326,-41.6268310546875,0.0007,224,4999,5000,25000,0.0,2.66473650932312
284.4782409667969,111,0.4404328,1.0174496173858643,-41.62881088256836,0.0007,229,5099,5100,25500,5.960464477539063e-08,66.79976654052734
-519.9185791015625,111,6.173437,1.0168895721435547,-41.60677719116211,0.0007,233,5199,5200,26000,0.0,200.8607177734375
-16.803192138671875,111,0.12616268,1.016572117805481,-41.59617614746094,0.0007,238,5299,5300,26500,0.0,0.27235347032546997
-170.5238037109375,111,-0.029411906,1.0163214206695557,-41.59162521362305,0.0007,242,5399,5400,27000,0.0,19.41545295715332
76.4770736694336,111,3.7797244,1.0148916244506836,-41.55116653442383,0.0007,247,5499,5500,27500,0.0,6.404182434082031
-43.11484146118164,111,0.9456814,1.0160313844680786,-41.58489227294922,0.0007,252,5599,5600,28000,0.0,1.9910829067230225
-70.50927734375,111,-0.35539567,1.0159108638763428,-41.57609558105469,0.0007,256,5699,5700,28500,0.0,5.08419942855835
-33.31608963012695,111,1.701171,1.015905737876892,-41.57391357421875,0.0007,261,5799,5800,29000,0.0,4.677913665771484
19.5068359375,110,-0.65173954,1.0159337520599365,-41.579044342041016,0.0007,265,5899,5900,29500,0.0,0.5082639455795288
80.67388916015625,110,-0.22319141,1.015561580657959,-41.56161117553711,0.0007,270,5999,6000,30000,5.960464477539062e-07,5.20836877822876
58.06922149658203,110,-2.1937988,1.0187501907348633,-41.645687103271484,0.0007,274,6099,6100,30500,0.0,7.1173858642578125
49.351524353027344,110,-0.5045025,1.018509030342102,-41.640602111816406,0.0007,279,6199,6200,31000,0.0,3.792266368865967
58.14827346801758,110,4.4203324,1.0196022987365723,-41.66599655151367,0.0007,283,6299,6300,31500,0.0,7.915829658508301
128.58737182617188,110,1.6694219,1.0182117223739624,-41.631370544433594,0.0007,288,6399,6400,32000,-1.1920928955078125e-07,11.706010818481445
4.783654689788818,110,-4.2578754,1.0165483951568604,-41.58158874511719,0.0007,292,6499,6500,32500,0.0,7.300177574157715
-80.51051330566406,110,0.37325758,1.0191166400909424,-41.651405334472656,0.0007,297,6599,6600,33000,0.0,8.157246589660645
-737.3319091796875,110,-5.3286157,1.0204572677612305,-41.69300079345703,0.0007,302,6699,6700,33500,0.0392492413520813,350.967041015625
-108.26163482666016,110,0.11651823,1.020782709121704,-41.70055389404297,0.0007,306,6799,6800,34000,1.1920928955078125e-07,8.158817291259766
-294.7972717285156,110,-1.3839784,1.0210338830947876,-41.70340347290039,0.0007,311,6899,6900,34500,-0.1369532346725464,73.60387420654297
41.22091293334961,110,0.12444157,1.0195164680480957,-41.666175842285156,0.0007,315,6999,7000,35000,-1.1920928955078125e-07,1.4065883159637451
34.91454315185547,110,0.8258577,1.020076870918274,-41.67845916748047,0.0007,320,7099,7100,35500,0.0,1.1960221529006958
-229.2276153564453,110,0.6481702,1.0214585065841675,-41.70998001098633,0.0007,324,7199,7200,36000,0.0,33.2996711730957
262.03314208984375,110,0.27541307,1.0223991870880127,-41.73731231689453,0.0007,329,7299,7300,36500,0.0,56.76536178588867
-277.573486328125,110,-5.398347,1.0246081352233887,-41.7939453125,0.0007,334,7399,7400,37000,0.0,51.3582763671875
331.57073974609375,110,-2.4867399,1.0265833139419556,-41.853126525878906,0.0007,338,7499,7500,37500,0.0,68.39102935791016
-77.5488510131836,110,0.93399143,1.029982089996338,-41.95348358154297,0.0007,343,7599,7600,38000,-0.4461773633956909,4.461808204650879
-77.73890686035156,110,1.3259287,1.0329729318618774,-42.032012939453125,0.0007,347,7699,7700,38500,0.0,4.143021583557129
-17.89501953125,110,-3.3734586,1.033457636833191,-42.046897888183594,0.0007,352,7799,7800,39000,-2.384185791015625e-07,1.2177588939666748
333.53228759765625,110,1.8521882,1.0338244438171387,-42.05413818359375,0.0007,356,7899,7900,39500,0.0,71.6319808959961
-104.3766098022461,110,1.1510086,1.0348780155181885,-42.08317947387695,0.0007,361,7999,8000,40000,0.0,10.065482139587402
-87.85295867919922,110,5.248018,1.038145661354065,-42.1784553527832,0.0007,365,8099,8100,40500,0.0,14.238286972045898
-13.44189453125,110,-0.35574263,1.0399714708328247,-42.226478576660156,0.0007,370,8199,8200,41000,0.0,0.2563258409500122
42.79499053955078,110,-1.0011734,1.0407685041427612,-42.24702835083008,0.0007,374,8299,8300,41500,0.0,1.9337501525878906
-34.065914154052734,110,-2.5738544,1.0387871265411377,-42.18571472167969,0.0007,379,8399,8400,42000,5.960464477539063e-08,1.582311987876892
82.14002990722656,110,1.6294029,1.0402837991714478,-42.230506896972656,0.0007,384,8499,8500,42500,0.0,4.186493873596191
39.33617401123047,110,-9.2032585,1.0421735048294067,-42.28855514526367,0.0007,388,8599,8600,43000,1.1920928955078125e-07,22.38961410522461
44.620880126953125,110,2.3693016,1.0407872200012207,-42.23690414428711,0.0007,393,8699,8700,43500,0.0,2.088259696960449
-103.0162353515625,110,1.3828152,1.0418208837509155,-42.27536392211914,0.0007,397,8799,8800,44000,0.0,6.587693691253662
99.8588638305664,110,0.38429624,1.040279507637024,-42.23347091674805,0.0007,402,8899,8900,44500,0.34213346242904663,6.851133823394775
53.457305908203125,110,-0.30215117,1.0417941808700562,-42.281776428222656,0.0007,406,8999,9000,45000,0.0,4.434328556060791
14.723703384399414,110,2.6320786,1.0422978401184082,-42.294803619384766,0.0007,411,9099,9100,45500,-1.1920928955078125e-07,0.5862754583358765
31.458044052124023,110,2.5407119,1.0423728227615356,-42.29079055786133,0.0007,416,9199,9200,46000,-1.1920928955078125e-07,8.240694999694824
-186.35205078125,110,0.85856944,1.0395680665969849,-42.21528244018555,0.0007,420,9299,9300,46500,-0.12184739112854004,21.38296127319336
131.1422119140625,110,0.08303239,1.0409752130508423,-42.25548553466797,0.0007,425,9399,9400,47000,0.0,12.560195922851562
107.16545104980469,110,0.96172416,1.0433822870254517,-42.328041076660156,0.0007,429,9499,9500,47500,0.0,9.634332656860352
-94.3799819946289,110,-0.9756382,1.0446232557296753,-42.35181427001953,0.0007,434,9599,9600,48000,1.1920928955078125e-07,6.45773458480835
111.96334075927734,110,0.7691903,1.0407655239105225,-42.253318786621094,0.0007,439,9699,9700,48500,-1.1920928955078125e-07,12.921133041381836
162.77609252929688,110,6.826923,1.0422624349594116,-42.295082092285156,0.0007,443,9799,9800,49000,0.0,38.4676628112793
22.77594757080078,110,-0.12725718,1.0428144931793213,-42.30497741699219,0.0007,448,9899,9900,49500,0.0,0.48924922943115234
10.630636215209961,110,-1.0463289,1.0449378490447998,-42.35972595214844,0.0007,453,9999,10000,50000,0.0,1.018660306930542
